We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,../data/comute/images/e9490cd.jpeg,0.5738,0.6036,0.3437,0.3599,0.1295
We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,../data/comute/images/e2f18daf.jpeg,0.5776,0.6036,0.4015,0.3848,0.1481
He finally made it to the bank.,Er kam endlich an der Bank an.,../data/comute/images/40cc251e.jpeg,0.72,0.7606,0.3474,0.3301,0.109
He finally made it to the bank.,Er kam endlich an der Bank an.,../data/comute/images/d12293c.jpeg,0.7249,0.7606,0.4586,0.3662,0.1341
So you see, they don't even own the plant.,Sie sehen also, sie besitzen nicht einmal die Fabrik.,../data/comute/images/d8011246.jpeg,0.6099,0.6393,0.3623,0.3443,0.1185
So you see, they don't even own the plant.,Sie sehen also, sie besitzen nicht einmal die Fabrik.,../data/comute/images/4bedbae4.jpeg,0.6137,0.6393,0.3974,0.3439,0.1182
There are still a couple of bugs left.,Es sind noch ein paar Fehler übrig.,../data/comute/images/b547ce7.jpeg,0.5959,0.6211,0.4743,0.4546,0.2067
There are still a couple of bugs left.,Es sind noch ein paar Fehler übrig.,../data/comute/images/d1f5f19.jpeg,0.5601,0.6211,0.3541,0.5438,0.2958
Hand me that bow.,Gib mir diesen Bogen.,../data/comute/images/8b24724.jpeg,0.5457,0.5661,0.4507,0.4637,0.215
Hand me that bow.,Gib mir diesen Bogen.,../data/comute/images/cf7bfad.jpeg,0.5401,0.5661,0.4359,0.4999,0.2499
Do you want to borrow my glasses?,Möchtest du meine Brille ausleihen?,../data/comute/images/dc8979e.jpeg,0.6176,0.6623,0.3537,0.4115,0.1693
Do you want to borrow my glasses?,Möchtest du meine Brille ausleihen?,../data/comute/images/9ef4910.jpeg,0.6132,0.6623,0.2818,0.3849,0.1481
There are chips in a bowl.,Es gibt Chips in einer Schüssel.,../data/comute/images/c6249700.jpeg,0.6601,0.6872,0.5835,0.5939,0.3527
There are chips in a bowl.,Es gibt Chips in einer Schüssel.,../data/comute/images/737c4103.jpeg,0.6383,0.6872,0.4875,0.5692,0.3239
First we should fill up the boot.,Zuerst sollten wir den Kofferraum füllen.,../data/comute/images/a13f9a0.jpeg,0.6359,0.6644,0.3628,0.3233,0.1045
First we should fill up the boot.,Zuerst sollten wir den Kofferraum füllen.,../data/comute/images/a01e98cb.jpeg,0.6253,0.6644,0.3434,0.3722,0.1386
Put down your arms.,Legt eure Waffen nieder.,../data/comute/images/48ef354.jpeg,0.5553,0.5744,0.4228,0.379,0.1437
Put down your arms.,Legt eure Waffen nieder.,../data/comute/images/f8f9418.jpeg,0.5383,0.5744,0.3139,0.401,0.1608
It must be the spring.,Es muss der Frühling sein.,../data/comute/images/e20c4ff.jpeg,0.6056,0.6474,0.4036,0.4553,0.2073
It must be the spring.,Es muss der Frühling sein.,../data/comute/images/458999c.jpeg,0.6004,0.6474,0.4066,0.4926,0.2426
My chest is quite heavy...,Mein Brustkorb ist sehr schwer...,../data/comute/images/edf9e44e.jpeg,0.6088,0.65,0.4608,0.5279,0.2787
My chest is quite heavy...,Mein Brustkorb ist sehr schwer...,../data/comute/images/f4f9494.jpeg,0.6189,0.65,0.2804,0.303,0.0918
The beam seems to be moving.,Der Strahl scheint sich zu bewegen.,../data/comute/images/a8b1169.jpeg,0.691,0.737,0.5424,0.5564,0.3096
The beam seems to be moving.,Der Strahl scheint sich zu bewegen.,../data/comute/images/e50fb00.jpeg,0.6754,0.737,0.3059,0.4086,0.1669
Over there by the pen.,Dort, bei der Feder.,../data/comute/images/8de21f5.jpeg,0.3588,0.3605,0.3495,0.4296,0.1846
Over there by the pen.,Dort, bei der Feder.,../data/comute/images/68161a4.jpeg,0.3608,0.3605,0.3628,0.4018,0.1615
They're braces.,Sie sind Klammern.,../data/comute/images/230b2b4.jpeg,0.5566,0.5843,0.3349,0.3531,0.1246
They're braces.,Sie sind Klammern.,../data/comute/images/a9ee65f.jpeg,0.539,0.5843,0.4238,0.6269,0.3929
I know. The last one was a real nut.,Ich weiß. Der letzte war ein echter Verrückter.,../data/comute/images/d9cbe61.jpeg,0.6303,0.6929,0.3278,0.4548,0.2069
I know. The last one was a real nut.,Ich weiß. Der letzte war ein echter Verrückter.,../data/comute/images/7adadb10.jpeg,0.6411,0.6929,0.2633,0.37,0.1369
It might be easier with a pick.,Es könnte mit einer Zange einfacher sein.,../data/comute/images/b599303.jpeg,0.5525,0.6012,0.3647,0.5092,0.2593
It might be easier with a pick.,Es könnte mit einer Zange einfacher sein.,../data/comute/images/4a6ca5a.jpeg,0.5606,0.6012,0.3626,0.4531,0.2053
I have a club.,Ich habe einen Club.,../data/comute/images/cce02b1.jpeg,0.6119,0.6597,0.4521,0.5468,0.2989
I have a club.,Ich habe einen Club.,../data/comute/images/d01da65.jpeg,0.6215,0.6597,0.4155,0.4305,0.1853
Which port does he want?,Welchen Hafen will er?,../data/comute/images/de257f1.jpeg,0.627,0.6397,0.5525,0.4127,0.1704
Which port does he want?,Welchen Hafen will er?,../data/comute/images/4511cf4.jpeg,0.5977,0.6397,0.3787,0.4377,0.1916
Sorry, the tape's just run out.,Tut mir leid, die Kassettenrolle ist gerade leer.,../data/comute/images/cc50c7e0.jpeg,0.5691,0.5806,0.4935,0.39,0.1521
Sorry, the tape's just run out.,Tut mir leid, die Kassettenrolle ist gerade leer.,../data/comute/images/8207d9b2.jpeg,0.5539,0.5806,0.421,0.4483,0.201
They checked the seal.,Sie haben den Dichtungsring überprüft.,../data/comute/images/8b12aebf.jpeg,0.4464,0.4592,0.2994,0.2947,0.0868
They checked the seal.,Sie haben den Dichtungsring überprüft.,../data/comute/images/59364b5.jpeg,0.4317,0.4592,0.2717,0.4143,0.1716
Why is the chair here?,Warum ist der Stuhl hier?,../data/comute/images/2caf5d9.jpeg,0.731,0.8196,0.3961,0.5144,0.2646
Why is the chair here?,Warum ist der Stuhl hier?,../data/comute/images/ef02ac2.jpeg,0.7383,0.8196,0.5559,0.6679,0.4461
There must be a hole in the tank somewhere.,Es muss irgendwo ein Loch im Tank sein.,../data/comute/images/22f9dcb.jpeg,0.629,0.6811,0.3203,0.4107,0.1687
There must be a hole in the tank somewhere.,Es muss irgendwo ein Loch im Tank sein.,../data/comute/images/acb5659.jpeg,0.6351,0.6811,0.4424,0.4886,0.2387
We're going to have to do without the poker then.,Wir müssen dann wohl auf Poker verzichten.,../data/comute/images/c0816da.jpeg,0.5846,0.6002,0.491,0.4074,0.166
We're going to have to do without the poker then.,Wir müssen dann wohl auf Poker verzichten.,../data/comute/images/32da2f5.jpeg,0.5727,0.6002,0.2996,0.3173,0.1007
I don't give a damn about the cup.,Ich gebe mir keine Mühe um den Pokal.,../data/comute/images/2f05055.jpeg,0.5091,0.5254,0.4242,0.4374,0.1913
